target,input
Student loan,"Navient calls me between 5-10 times a day regarding late student loan payments. When requesting forbarrence I was told there was a large fee for this than the amount currently owned. I feel I was steered away from help and forced to pay when I can not afford to pay at this time. I was out of work laid off for 7 months and still getting back on my feet. When I told navient this they told me the co signer needs to pay. The reps and managers are extremely rude, condescending and disrespectful. They do not try to help but force payment."
"Credit reporting, credit repair services, or other personal consumer reports",There are three inquiries on my credit report that I did not authorize. I submitted letters to the credit bureau stating I had no idea who these companies were .. They are still there so I resubmitted to all three agencies and it still remains on my report.
"Credit reporting, credit repair services, or other personal consumer reports",I have numerous inquiries on my credit report that I never authorized. I paid for Experian membership and can’t review my credit report. The inquiries are from companies i have not seek credit from. Experian refuses to take identity thief seriously. It’s bad enough they have let a collection agency stay on my credit report without really investigating. After the collection agency deleted the account several times Experian will not delete XXXX XXXX XXXX from my credit report. Inquiries are popping up on my credit report and i don’t understand why and who is doing it.
Checking or savings account,"XX/XX/XXXX I phoned Chase bank, and applied a small fee of {$25.00} to pay for a stop payment on a Loan company 's ' payment. XX/XX/XXXX Chase bank overrides customers Stop payment Fee and Explains other than the Fee applied. They argue they are the highest in Fraud and it doesn't matter that i have stop payment the Loan company withdrew the funds as prior payments an electronic check. Each 5 bank members { Employees } .. etc.. They want to perform how ranking its independent duty or rule to my payment of {$25.00} stop payment is???

. Chase bank in freer practice too and has have - been and this is-evidence of open files in complaint are monitoring my account as a practice. The complaint is made in part of 4-403. CUSTOM
ER 's RIGHT TO STOP PAYMENT ; BURDEN OF PROOF OF LOSS.

( a ) A customer or any person authorized to draw on the account if there is more than one person may stop payment of any item drawn on the customer 's account or close the account by an order to the bank describing the item or account with reasonable certainty received at a time and in a manner that affords the bank a reasonable opportunity to act on it before any action by the bank with respect to the item described in Section 4-303. If the signature of more than one person is required to draw on an account, any of these persons may stop payment or close the account.

( b ) A stop-payment order is effective for six months, but it lapses after 14 calendar days if the original order was oral and was not confirmed in a record within that period. A stop-payment order may be renewed for additional six-month periods by a record given to the bank within a period during which the stop-payment order is effective.

( c ) The burden of establishing the fact and amount of loss resulting from the payment of an item contrary to a stop-payment order or order to close an account is on the customer. The loss from payment of an item contrary to a stop-payment order may include damages for dishonor of subsequent items under Section 4-402. 

The account retains a invisible button on this date.Called I DO NOT WANT OVERDRAFT. This button issue is in complaint and unanswered on this date. The button is removed from my platform. Or invisible.. If funds are not available the check is required to be returned. They bank is monitoring the account as in Complaint and unresolved Case File Number going back to XXXX Public Inquiry Unit dealing with the other unanswered and resolved complaints submitted to Chase bank. dealing with those facts. This day is XX/XX/XXXX I have contacted Chase bank in regards to sending me customer satisfaction emails in how am i going to pay for my overdrafts fees in the payments they are watching to add {$34.00} fee for insufficient fund. Now the insight of Chase bank i have accessed the forum to request the bank communicate if i am insufficient in allowing a payment i stopped to be paid and itemizing what Chase bank is going to pay. That i may request in depository rules other than FDIC my income that as a Insurance company can go to limit per day. As in that way i can request your named aka employees in requesting its he or she names pay my payroll per day of what i earn per month to include deductions before deposit. 1. Chase bank is not i to monitor or to inform the non payment of a Loan Company XXXX XXXX XXXX A chase bank returned payment on XX/XX/XXXX allocating i did not get a deposit. Consumer has 2 weeks to make a deposit before it can be returned. Chase bank informed the loan company XX/XX/XXXX that customer did not get a deposit and payment was returned insufficient. This is a violation of consumer privacy laws. Well. At that time Customer had no overdraft protection XX/XX/XXXX as a Chase bank asserted task but in XX/XX/XXXX Customer without giving Chase bank consent retains Overdraft protection. 
I am only 1 person. for all this excise activity. Y Further XX/XX/XXXX a stop payment paid from customer account. Your employees maybe FDIC especially when they think they are consumers rights. In this forum my money is insured in another forum so on that note. I request Chase do not conflict with me to enforce rights on my payment they revoked titled : STOP Payment. 2. Chase bank respect the customer rights in NON overdraft protected until otherwise notified by customer in writing that she wants overdraft protection.. Well. About the stop payment. No payment from the Loan company was taken out of customers account in XXXX. In oversight of Chase bank revoking customers right in that the Fee {$25.00} XXXX when they allowed payment to post and pend payment that is a stop payment and add overdraft protection to the bills for that month to be paid. They do not make Financial decsions for customer and have and i herein in this complaint a request in notice :. The rights i retain i seek and request for other resolutions as i am tasking the issue of this complaint.. Further a request has been applied to the bank over the phone, then online message If Chase is going to enforce and disturb my rights in a stop payment fee of {$25.00} and to allow payment of the stop payment to clear I am not insufficient then The bank is in revocation of my right and to assert to notify me is harassment. How its my money that paid for it and as a request you should use your platform with online message available to notify or imply to customer of her overdraft in the account of insufficient but Chase paid and how i can make a deposit. Well i will make my deposit and apply the regulations to settle i notify you in this way as a civil request being defeated It would be advised the employees task a class of behavioral management in confusing their position to customers rights But since they are in custody and control of my right i believe we have a few regulated problems in request and my own personal input on screen of non overdraft protected. Chase bank says they can revoke may right and decide who they pay out of my account I have a lot of activity they state at another time is not visible but at that time was and lucky i learnt how to copy and paste, hold and keep documents before the task of it disappeared or is no loner available. I have informed Chase bank of a data breach XXXX   XXXX they have yet to resolve those issues reported. I was mailed a bunch of bank statements inaccurate date of opening statement.. This issue is new and in section would apply to Contractual Data Stop Payment _Chase Bank Transfer Agreement of the Stop payment is between parties known as chase employees and herein Clause to adjoin Cell phone transfers as part of its Employed position in dealing with Customer relations Fraud is not fraud because they had not paid the fee for stop payment is personal fraud brought by the employed sanctioned representatives AKA telephone communications etc.. 



The personal data in which they compromised to insight, hack and give civil opinion on the Stop payment Chase bank employees Debt I provide the governing body of those employees to include Misrepresentation, Fraud, and Playing with financial lines, manipulating the the bill of rights in secured deposit in asset under regulations of the undersigned. 

The independent employees includes, name, email and/or phone contact information abstracts the bill of rights underpayment with the amendment to the stop payment of a company from payment. 
On XX/XX/XXXX E mailer form a Chase bank received a call from customer advising the privacy rights and laws to not email me with its insufficient dent in practices the time and place of proposed export of data in fiduciary take place in any jurisdiction processed by any other form performed a electronic risk assessment after and before processing the Customer Data or launching the Services agreement are Chase bank Checking & savings account columns Chase bank credit card department the named indicators employed task to enact I was told to go to the bank and get it.

Data subjects Data subjects include the data exporters customers representative 's and end users, primarily customers of the data exporter, but also including employees, contractors, and collaborators thereof. Data subjects may also include individuals attempting to communicate or transfer personal information to users of the services provided by whay they can do with my money in payments of bills and personal information to clients of them are not customers as i i am client to chase bank. 
by the data importer.Categories of data The personal data transferred includes, name, email and/or phone contact information, time and place of proposed appointment or booking, and other data in an electronic form retains its security documents pursuant to its retention requirements after they are no longer in effect Contractual Encrypt Financial Data 1. Provided by customer, provided by chase bank. 
Chase bank excludes customers right to rightful process of fraud in affidavit of the laws in brief of memorandum of truth and law versa Chase bank public opinion in the right it controls for access the access is defined above in the change of the customers data to the preference it foresee as the right to the posses to the right of customer. 
XXXX"
Debt collection,The company called credit Acceptance I have requested in writing to receive documentation to verify this debt and also a deficiency document that shows what I supposedly owe I send this letter certified mail which they received on XX/XX/18 they havent responded and has been more than thirty days the company has sent back a generic faq sheet about how they share information I also sent in all my identifying information have not received a response yet currently reporting on my credit report as owing XXXX dollars I would like to see the documentation that is backing this claim
Mortgage,"On XX/XX/XXXX I received notification that XXXX XXXX was transferring my loan to Specialized Loan Servicing on  XX/XX/XXXX. I requested a payoff from my second mortgage XXXX XXXX whom required a wire transfer to pay off my second loan. On XX/XX/XXXX through XXXX XXXX I wire transferred {$450.00} to XXXX XXXX 's account number. The XXXX XXXX clerk listed XXXX XXXX XXXX XXXX as the beneficiary. The tracking number was XXXX. The wire transferred was delivered. XXXX XXXX inadvertently accepted the wire transfer from XXXX XXXX and applied the payment to my mortgage. It is unknown how the payment was applied as neither XXXX XXXX or SLS have provided a payment history. On XX/XX/XXXX my loan was transferred to SLS. The {$450.00}, according to XXXX XXXX was transferred to SLS. SLS has claimed that they had the funds but were not applied to my XX/XX/XXXX payment. According to SLS an investigation regarding the wire transfer was opened. On XX/XX/XXXX, in a phone conversation, I paid the remaining {$780.00} to make my loan current for the month of XXXX. On XX/XX/XXXX I sent a certified letter to SLS regarding the wire transfer and discrepancy in how it was applied to my loan. The letter was to arrive on XX/XX/XXXX. The same day I mailed a check for my XX/XX/XXXX payment in full to a separate XXXX XXXX for SLS ( certified receipt XXXX, confirmed delivery ). The payment was received and SLS rather than depositing my check withdrew the money from my account as an ACH payment. The money was withdrawn on XX/XX/XXXX from my XXXX XXXX   XXXX account ( check number XXXX ) I did not and have not authorized any ACH payments with SLS. I received an email confirmation that the payment was received. On XX/XX/XXXX I contacted SLS again to resolve the status of my loan and address my letter. SLS then told me that my {$450.00} was applied to my XXXX payment ( as an autopost ), but now my {$780.00} payment had been applied to my principal as it was a partial payment ( as a curtailment ). I informed XXXX that the representative never informed me that my payment would be applied to my principal but that we had an in-depth conversation regarding that this payment would make my monthly payment current. I was never requested on informed XXXX XXXX or SLS that I wanted to make an additional payment toward my loan at any point in time. According to my financial records, my XXXX payment should be current and my XXXX payment was paid by check. According to SLS 's online history of my account the XXXX payment in the amount of {$1200.00} has NOT been credited or received by SLS. All payments have been made to both XXXX XXXX and SLS and my account is current. It is my belief that SLS is attempting to foreclose on my home and committing fraudulent acts with criminal intent."
Checking or savings account,"I contacted Citibank to check account bonus eligibility to make sure I did not have account within 180 days and was eligible for bonus before opening account. They confirmed I would get a {$400.00} bonus for Open a new checking and savings account in the Citi Account Package and complete the following requirements : Within 30 days of opening your account deposit {$15000.00} new-to-Citibank funds into the checking or savings account. A minimum of {$1500.00} must be in the checking account and a minimum of {$100.00} must be in the savings account. 
Maintain a minimum balance of {$15000.00} in your eligible linked checking and savings account for 60 days I have screenshot of my chat with a representative on XXXX XXXX to confirm completion and credit of my credit on XX/XX/XXXX Account funded XXXX and completion on XX/XX/XXXX. 

After calling representative XX/XX/XXXX they opened a case to research the issue and resolve issue. I called for follow up on XX/XX/XXXX and representative said I no longer qualify for bonus."
"Payday loan, title loan, or personal loan","On XX/XX/XXXX, I purchased a XXXX XXXX from XXXX XXXX XXXX in XXXX, Illinois, for the total amount of {$2200.00} purchased through XXXX XXXX XXXX XXXX, Phone # XXXX. I was told by XXXX  that I would have 18 months to pay this off interest free. After 18 months, I would begin to pay interest on the amount unpaid. I agreed to this. I paid {$77.00} per month for 18 months and on XX/XX/XXXX, I received a statement where XXXX XXXX XXXX XXXX added an interest charge of {$340.00} for the 18 months previously. I called Wells Fargo on XX/XX/XXXX and disputed the charge. I talked to XXXX from the Executive Office at XXXX XXXX XXXX XXXX   and was given the name of the Executive that would be helping me find a resolution to this charge. His name is XXXX XXXX I was given a Case # XXXX. On XX/XX/XXXX, I called Wells Fargo to check the status of my case. I talked to XXXX. He stated that he would be sending an email out to XXXX. Still no response. On XX/XX/XXXX, I called Wells Fargo again and spoke to XXXX. XXXX   states that they can not help me because I agreed to the terms. My argument was, that I did not agree to pay on interest that was deferred for 18 months, and that I had agreed to pay the interest after the 18 months.

I feel that I was incorrectly informed regarding how the interest rate worked and can not agree with their resolution of writing off the interest and paying the remaining balance of {$1100.00}. I could not afford the XXXX XXXX then and I can not afford to pay the balance in full. That is why I agreed to pay in monthly installments.

Anything that you can do to help me financially would be appreciated.

Thank you for your time."
"Credit reporting, credit repair services, or other personal consumer reports","The reason for my writing this letter is to inform you that this bureau is being unreasonable. I am a victim of identity theft, my information was compromised and fraudulent inquiries were included in my report without my consent or authorization. 
As a result, I contacted this company with a detail explanation that I am a victim of identity theft on XX/XX/XXXX. I pointed out in detail to them, of all the inquiries that I did not authorize and were fraudulent. BUT to my surprise this company still keeps on reporting these fraudulent inquiries and inaccurate information : 1. XXXX XXXX Never been my employer 2. XXXX XXXX 3. XXXX 4. XXXX XXXX XXXX 5.  XXXX XXXX 6. XXXX XXXX 7.  XXXX Inquiry Date XX/XX/XXXX 8. XXXX Inquiry Date XX/XX/XXXX 9. XXXX Inquiry Date  XX/XX/XXXX 10. XXXX XXXX Inquiry Date XX/XX/XXXX I also attached with it the following documents as proof of my claim : 1. Identity Theft Report 2. Proof of identity 3. Section 605B of the Fair Credit Reporting Act This may also serve as a written notice of my intent to sue this company if they continue to insist on reporting this inaccurate information on my report."
"Credit reporting, credit repair services, or other personal consumer reports","I am attempting to get a mortgage approval to buy a home. 2 of 3 credit agencies allowed my credit reports to be pulled by the finance company. Equifax however did not allow my credit report to be pulled because it was locked. 

I called Equifax 's XXXX number three times this morning. Their automated system makes it impossible to speak with someone to fix this. 

I then obtained a secondary Customer Service number of XXXX XXXX. I called it this afternoon and a woman that barely speaks English asked me multiple questions about past mortgages, past loans, addresses, date of birth etc. and said that I was authenticated. She then determined that my current address that I have been living at for over a year and a half was not updated. She refused to update it on the call despite having already authenticated me. 

A third-party company that has incorrect information about me should not prevent me from buying a house. THIS IS RIDICULOUS!"
"Credit reporting, credit repair services, or other personal consumer reports",A credit repair firm sent multiple dispute letters addressing a MOHELA account on my XXXX  report. This account is listed with a {$0.00} balance but is still being reported as an active late payment account.
Checking or savings account,"As shown on the attached scan, BB & T has opened Banking Accounts ( checking I believe, and an e-Savings account ) and a credit card which I did not request. It appears they were opened on XXXX XX/XX/2018."
Checking or savings account,"On XX/XX/2018, XXXX XXXX XXXX deposited two checks in the amounts of {$670000.00} and {$82000.00} in the incorrect account at JP Morgan Chase located at XXXX XXXX in XXXX, NJ. The checks were made payable to XXXX XXXX XXXX Living XXXX. One came from an attorney trust account and the other from an escrow settlement account from a title company. The checks should have been have been deposited in XXXX XXXX trust account with XXXX XXXX. 

The teller accepted the checks and deposited them in the JP Morgan Chase account. ( See attachments. ) A letter dated XX/XX/2018, and received nearly a week later from JP Morgan Chase indicated that the account was blocked and will be closed ( see letter attached. ) In addition to not enabling XXXX XXXX to have access to the 2 checks that were erroneously deposited, JP Morgan Chase also pulled from the account and disabled access to {$33000.00}. Due to this action by the bank, two checks written against the account bounced. 

XXXX XXXX went to the bank and the manager of the branch contacted the home office and was told that we should open a trust account at JP Morgan or to contact the people who wrote the checks and have the checks recalled. 

XXXX XXXX contacted the bank ( see letter attached ) to ask that the funds be forwarded/transferred to them since the trust account where they should be deposited was held with them. JP Morgan Chase refused to do so and reiterated that XXXX would need to open a trust account with JP Morgan Chase. 

XXXX XXXX went back and forth with JP Morgan Chase numerous times. As of Wednesday, XX/XX/XXXX JP Morgan Chase indicated that they mailed back to XXXX a check for {$33000.00}, though that has not yet been received as of today, Friday, XX/XX/2018. At the same time, XXXX XXXX was forced to open up another trust account with incurred attorney fees in the amount of {$300.00} in order to get access to the two checks deposited in error. JP Morgan is transferring the amounts of the two checks -  {$670000.00} and {$82000.00} and allege that the money will be in the account by next Wednesday, XX/XX/2018. Additionally, the money will lose significant interest in JP Morgan as opposed to where it should be residing at XXXX XXXX and, when asked, the branch manager for JP Morgan in XXXX, NJ indicated that she did not know if or when well be able to pull the money out to put back into the account it should be in at XXXX XXXX."
"Payday loan, title loan, or personal loan","I am deeply disappointed with Bank Of America and XXXX XXXX for ending financial services to law abiding companies making and selling Firearms. This is nothing but an attempt at social engineering and bullying by large institutions who benefited from taxpayer funded bailouts when they faced financial collapse due to their questionable practices.

The entities they have targeted are operating legally and protected by our second amendment. My wife and I are both Life Members of the NRA, and strong supporters of our second amendment. We would like to see these financial institutions honor the taxpayers who saved them by supporting our second amendment rather than bowing to political pressures from the left."
Debt collection,"On XX/XX/2018, I received a letter from the credit bureau stating that a collection account from Merchants Credit Guide Co. was added to my credit report for {$78.00}. A collection that I didn't know anything about. I never received a bill, letter, warning etc.. from the collector 's office. I called the collection agency, verbal information was given to me. I requested a written copy of bill in dispute. On XX/XX/XXXX of 2018 I received such written information. I went through my records to find out this bill to XXXX XXXX XXXX was paid with check # XXXX on XX/XX/2018 for the amount of {$86.00}. ( XXXX + XXXX. ) I called XXXX  talked to XXXX and she told me there was no record of me paying this bill and did not find a copy of the check in dispute. I am submitting evidence from my bank account that check was cashed on XXXX. They deposited this check electronically didn't cash it through the regular channels. This dispute destroyed my credit record falling down XXXX points according to the credit bureau."
Student loan,"In XXXX, I took out a student loan to attend XXXX  school at the XXXX XXXX XXXX XXXXa at XXXX XXXX. I borrowed approximately {$22000.00}. I began paying back on the loan in XXXX. Since that time the loan has been bought and sold numerous times. I can not tell you what specific lending institutions had the loan during the past 19 years. Currently, my balance is over {$17000.00} after paying on it for nearly 20 years. I dont know how that could possibly be. I have tried on multiple occasions to contact lenders for loan and payments histories to no avail. No one has been able to provide this information. Specifically, I have not been able to find the original amount borrowed versus what I have paid to date. I have had no success tracking this down. The current loan holder is Navient. They have not been able to provide any relevant information either. I am reaching out to you to help me resolve this matter. I have had zero luck myself. I feel I am throwing money down the drain."
Vehicle loan or lease,On XX/XX/2018 I traded my XXXX XXXX for a XXXX   ally banked reported the payment 30 days late. With the payout being processed and I received a check for over payment
Checking or savings account,"I responded to an offer to open a checking account at HSBC. The opening process was excruciating but I worked through it. I made two transfers of funds and was disappointed both times by an extremely long transfer time. Everything about HSBC is slow and clunky. I attempted to close the account on XX/XX/2018 by contacting customer support. I was advised that there would be a fee for closing the account before six months through a rep but if I were to transfer my balance out first there would be no fee. This advice was given by phone and I have a recording of that conversation. When that transfer was complete on XX/XX/2018, I called back to close the account and that rep refused to close the account because there were insufficient funds to cover their fee. I was told that I would have to transfer {$25.00} back in. I have a recording of that conversation. All transfers were initiated via the HSBC web service, this transfer took a full week. When the funds finally showed up on XX/XX/2018, I called back and closed the account. That rep again attempted to convince me to keep the account open. I firmly told her to just close the account. I was told that the account was closed. I have a recording of that conversation. I logged back in on the XXXX to make sure and not only was it not closed but they have assessed a "" {$25.00} minimum balance fee. '' HSBC 's purpose here seems to be to keep the account open by refusing to close it for the express purpose of assessing exorbitant fees. I believe that this constitutes FRAUD."
Credit card or prepaid card,"I was shocked when I reviewed my credit report and found late payment on XX/XX/2018, I am not sure how this happened, I believe I made my payments to you on time when I received my statements, My only thought is that my monthly statement did not get to me."
Mortgage,"Hi, I am part of the hundreds of customers that were denied a home loan modification by Wells Fargo in XX/XX/XXXX-XX/XX/XXXX when experienced financial distress due to employer furloughs and other financial reasons. I sent loan modification packages to Wells Fargo for 2 years and then, due to the loan modification denials, I was forced to short sale my home. 
Since a few months ago I have been in contact with Wells Fargo and they say that their "" computer glitch '' did not affect their calculations and that my case is not elegible for financial compensation. 
I believe they are wrong and that my case needs to be investigated by an independent."
Mortgage,"I was on a disaster forbearance through the end of XX/XX/2018, for the Thomas Fires in XX/XX/2018. The servicer had a scheduled sale date of XX/XX/18, I called & reminded them I was under disaster forbearance protection & they moved the sale date to XX/XX/18. On XX/XX/18 the president declared my area a disaster area once again, for the Woosley Fires. I immediately contacted Seterus &  advised them that I needed to apply for another disaster forbearance for the current fire disaster. I was told that the request was submitted & that the sale date would be postponed. I was following up w seterus on XX/XX/18, when I found out that the sale date was not pushed & there was no record of my disaster forbearance request. I was told that I would need to submit a Mortgage Assistance Application to be reviewed for the disaster forbearance. I was previously told that under in a disaster situation, the request could be submitted over the phone in order to expedite-however, now I needed to submit the application. I did so on the same day. I am worried that there will not be enough time to postpone the sale & review for disaster forbearance."
"Money transfer, virtual currency, or money service","Im a regular customer of WesternUnion. On XX/XX/2018 I sent two separate transactions overseas. The reasons I did two transactions was the auto fill from previous transactions. 

I sent {$70.00} and then {$30.00} to the same person. However, WesternUnion cancelled the transaction for the {$70.00} and the {$30.00} available.

I wasnt notified by WesternUnion that they canceled the transaction. I didnt know whats going until the receiver went to WesternUnion XX/XX/XXXX after going for consecutive days. WesternUnion overseas told I took the money back. On XX/XX/2018 I called WesternUnion and was told by two different representatives that they cant access the transfer, but I should call back in 15-20 minutes two times. Finally, I was told that they canceled my transaction because I sent separate transactions. Nobody seems to know whats the real problem. I called back WesternUnion representative again and asked if I send another transaction on XX/XX/XXXX if the person would be able to get the money. I was reassured by the representative yes. I was taken aback when WesternUnion again canceled-suspended the transaction again. I had to asked for a refund. 
After numerous calls I called back XX/XX/XXXX and asked for the department that placed restrictions on my transactions and was give this email XXXX for help. I sent an email and I havent received an email or phone call from WesternUnion about this inconvenience. I must say this situation was handled unprofessional and without regards or thoughtfulness of all party involved. Im very disappointed with WesternUnion."
Vehicle loan or lease,"Good Afternoon, My name is XXXX XXXX, I am writing this complaint against chase Auto Financing for my car loan. I bought XXXX XXXX XXXX in XXXX. I have the loan for 72 payments. I have done some skip payments that were added to the end of my loan. I also have been late with payments through out my loan time. On XX/XX/XXXX ( some where around that time ) I wanted to go and trade my car in. As the car dealer called to get the pay off figure with chase Auto. The pay off Figure at that time was XXXX. I was a little confuse as to why it was still so high. But, anyway could not trade the car in because of credit and the amount I still own on the car. So on Monday XX/XX/XXXX I decided to call Chase Auto to make a payment on my account and I also asked how many payments did I still have on the existing loan. The lady from chase told me that I owed 9 payments. so I was like ok. I took my car payment amount of XXXX x XXXX = XXXX. So I was Like ok can you tell me what my Pay off amount is. She told me that my pay off amount was XXXX. So then I question her as to why my pay off was so high when my payment left on the car was XXXX. She told me that I had 3 skip payments that were added to the end of the loan. I said ok So I took my XXXX x XXXX which would include the 3 skip payments. this came out to the amount of XXXX so I said that makes a difference of XXXX, XXXX that is in question. She proceeded to tell me because I was late with payments over 20 times and late fees and what not. I told her that is insane and that I did not agree with this. wanted to speak to manager and she said that they were all busy. So I hung up and then I called back and spoke with a gentleman. He proceeded to tell me that the XXXX was all interest that I owed because I was late. I was like how. everytime I was late I paid the late fee with my payment. so I was a little frustrated and was XXXX and getting angry and loud with the gentleman. he was like I can give you a copy of your payment history. I said I do not understand if I was late and then made the late fee payment why that did not include the interest. he said no it dose not so my late fee amount were like XXXX so I said what don't make scense to me is that I have had this car for 6 and 1/2 years and I still owe a lot on this car and I can't get out of the loan because I owe too much to trade it. so I said well my car payment was XXXX a month I have always paid XXXX to round it up and know your saying I still owe XXXX on top of my payment owed. I do not even understand. he proceeded to tell me that there late fee amount is XXXX per day until I make the payment. I told him that was rip off and that I never was told that and. he told me its in my contract and that there is nothing I can do but to pay off the car. so when I said that the company is horriable and they don't work you and all this XXXX he said we do work with you because I made 62 payments on a XXXX2 payment loan. so now its 10 more payments and yet that is not how it come out to me. so this just frustrated me even more. so I got off the phone with him and then thought about it and thought about that I called again for the 3 time in one day and spoke to a ladey that I did not get attitude with but just for them to email or fax me a copy of my payment history. So she took my information and I proceeded to wait. So at the end of the day I did not get a fax. So on Tuesday XX/XX/XXXX I called again about where my fax was. They proceeded that my request was mailed out instead of fax. So I was XXXX on that part again. so I asked if they could do a fax to me as a rush that I wanted to resolve this matter on my interest. ( this is all so I can trade this car in ). So on XX/XX/XXXX Wednesday I did not receive a fax and I check my mail did not receive anything that they said the mail to me. So I again on XX/XX/XXXX I called and talked to someone about my fax. she told me that the request was sent out and they have no control as to when I will get my fax. I told them that I did not understand why it takes so long to get a fax. I was XXXX and hung up. I am now turning to you. I think that they are charging me way too much money on interest I don't feel that I should have to pay that much interest and I this point of the loan I should be able to trade it in. please help to resolve this matter. thanks so much for all your help"
"Credit reporting, credit repair services, or other personal consumer reports","I have a couple hard inquires on my credit report that I have not inquired about and I am not sure who did. The first is labled "" XXXX & XXXX XXXX '' dating back to XX/XX/XXXX. The second is labled "" XXXX '' dated XX/XX/XXXX. The last is labled "" trans union '' dated XX/XX/XXXX. I have no knowledge of any of these inquires and would like these removed from all of my credit reports."
"Money transfer, virtual currency, or money service","I settled my Wells Fargo Card for {$5600.00} whereas they are failing to acknowledge my payment and misreporting to the credit bureaus, I have all proof of payment my bank statement which also includes the payment made to them a month ago, I am not able to buy a house due to this, they call me up after a month and are like we haven't received your payment whereas I have all records and a letter sent out by them that I have cleared it."
"Payday loan, title loan, or personal loan","On aboutXX/XX/2018, monies were electronically sent to American Express Company ( AMEX ) by XXXX XXXX XXXX. These monies were sent back to be applied against a personal loan I had taken with AMEX. There were two separate transfers made : {$350.00} on XX/XX/2018 -  Reference Trace Number : XXXX {$10000.00} on XX/XX/2018 - Reference Trace Number : XXXX AMEX has verbally acknowledged receipt of these funds and has been agreeing to credit any interest that may be accruing for the amount of the funds returned i.e. they don't want me to be responsible for paying interest on funds that have been returned and received by them. While this is being done, they still have not applied the returned monies to my outstanding loan balance. This is placing a burden upon me as I still do not have use of the funds as originally intended ; t=I can not apply for a new loan until this loan has been paid off AND it is restricting my access to money from others as this is showing as an outstanding loan of {$15000.00} +/- on my credit report, adversely affecting my credit score. I have spoken to a XXXX ( Employee Badge # XXXX, a "" supervisor '' in their personal loan department several times to no avail. While he has been polite he has acknowledged the frustration surrounding this matter, both on his part and mine. He is struggling to get answers on his end! 

I would like the returned funds totaling {$11000.00} to be applied to my account ASAP! 
Thank you, XXXX XXXX XXXX"
"Payday loan, title loan, or personal loan",I was unaware the is Company was not license in the state of Wisconsin..but the company went ahead and approved me for the loan with and interest rate 780.02 % ... I would like to get out of
"Money transfer, virtual currency, or money service","OnXX/XX/XXXX I was contacted by a man claiming to an officer. He stated I was involved in a crime and I needed to send him {$8000.00} by wire transfer. A wire transfer was set up on my account. On XXXX I decided to go to XXXX Bank in XXXX where the wire transfer was set up. I told them what happened and was told they would stop payment and the receiving bank, Chase would catch it. I was told by XXXX Bank they would contact Chase Bank to let them know this is fraud and not to allow it to be processed. 
OnXX/XX/XXXX we went to Chase bank was told the wire transfer was pending and but they had to go through before they were able to refund the money. The Fraud Dept. stated the process to stop the wire could take three to five business days. They advised that they would debit the fraudulent account and refund my account within 7-10 days. We contacted Chase continually to refund the money and they did not return our calls or refund the monies."
Student loan,"i made an electronic payment around XX/XX/XXXX, over 6 weeks ago, of about {$110.00} That payment was removed from my bank account and sent to Navient. I quickly noticed that the payment was never applied to my Navient account, so I started calling my bank and Navient to determine what was going on. After a group phone call between me, a representative from my bank, and a Navient representative it was determined that Navient had misplaced my payment, but my payment was sent to the right address. The representative then stated that the issue should definitely be resolved by my next due date at the latest. I then proceeded to call at a minimum once a week to keep tabs on the progress, and each week I was told something different by each representative, with none of them having any idea about my accounts situation whatsoever. Every representative after the initial one told me that my payment was sent to the wrong address and it would be relocated within the week, and they highly suggested that I use my forbearance until the issue is resolved. One representative even told me that she had expedited my request and that someone had to look at it the next day and that it would be addressed that weekend. I also reached out via email and 5 days after the original email I received a response that was completely useless and in no way answered my original question. My next loan payment was due last week, and I made the payment on time directly through Navient this time, but noticed that the first original payment still had not been applied to my account as promised by Navient. I also tried calling during their normal business hours and was given a runaround by their automated phone system three times."
Vehicle loan or lease,XX/XX/XXXX I sent check # XXXX for the amount of {$1800.00} to Wells Fargo Bank to pay off loan on a vehicle traded in to my auto dealership. The check cleared my account on XX/XX/XXXX. Letter and bill of sale were sent with the check as per Wels Fargo instructions. Numerous calls and still no title. The Office of president title team told me they have 6 weeks to process and mail it out. I legally have 10 days to produce a title. How can the bank be allowed to hold a title that long? Even if this is true it has been much longer. We have even faxed over bill of sale 2 more times after phone conversations on XX/XX/XXXX and XX/XX/XXXX. 1st # we were calling was XXXX. Last one was Office of the President XXXX. I do not have the customers loan # and Wells Fargo states they can't give it to me. The customer information is on bill of sale and letter attached to this complaint.
"Money transfer, virtual currency, or money service","Ditech home loans was my mortgage company. My mortgage was sold/given/bought by another holder. I sent 3 payments by XXXX XXXX XXXX bill pay to Ditech after my account was closed with them. The amounts were XXXX each payment. One payment was forwarded to my new lender. The second was mailed to me. The third payment is being held by Ditech. They have acknowledged that I sent 3 payments and realized that they have not returned my final payment. This has been going on for 5 months. I have called and spoke with several persons regarding this matter and have been told every time "" the check is in the mail '' and to wait a few days. Ditech sent two checks out to me which I never received and asked for my routing number so they can deposit it into my account. I gave them 2 weeks to do that and still I have not seen my money."
